,area,concentration,date,dupl,medium,species
329,6361.725123519331,50,2018-06-25,1,MEA,S.commune.DSC3
330,371763.50825520174,50,2018-06-25,2,MEA,S.commune.DSC3
331,3421.194399759285,50,2018-06-25,2,MEA,S.commune.DSC3
332,5808.804816487527,50,2018-06-25,2,MEA,S.commune.DSC3
333,373928.0655935251,52.5,2018-06-25,1,MEA,S.commune
334,398152.886545356,52.5,2018-06-25,1,MEA,S.commune
335,807543.2500126028,52.5,2018-06-25,1,MEA,S.commune
336,321699.08772759483,52.5,2018-06-25,2,MEA,S.commune
337,342119.43997592846,52.5,2018-06-25,2,MEA,S.commune
338,9503.317777109125,52.5,2018-06-25,2,MEA,S.commune
339,376098.9061171557,52.5,2018-06-25,1,MEA,S.commune.DSC3
340,317690.4155016142,52.5,2018-06-25,1,MEA,S.commune.DSC3
341,8494.8665353068,52.5,2018-06-25,1,MEA,S.commune.DSC3
342,664761.0054996002,52.5,2018-06-25,2,MEA,S.commune.DSC3
343,5026.548245743669,52.5,2018-06-25,2,MEA,S.commune.DSC3
344,16741.54725098001,52.5,2018-06-25,2,MEA,S.commune.DSC3
345,551541.1478568777,19.5,2018-06-25,1,PDA,P.ostreatus
346,130740.51987179283,19.5,2018-06-25,1,PDA,P.ostreatus
347,367453.24313447654,19.5,2018-06-25,1,PDA,P.ostreatus
348,106361.76087993603,19.5,2018-06-25,1,PDA,P.ostreatus
349,69746.49850234699,19.5,2018-06-25,1,PDA,P.ostreatus
350,242794.84664003356,19.5,2018-06-25,1,PDA,P.ostreatus
351,242794.84664003356,19.5,2018-06-25,1,PDA,P.ostreatus
352,123162.99839133424,19.5,2018-06-25,1,PDA,P.ostreatus
353,215651.48611301775,19.5,2018-06-25,2,PDA,P.ostreatus
354,196349.54084936206,19.5,2018-06-25,2,PDA,P.ostreatus
355,138544.23602330987,19.5,2018-06-25,2,PDA,P.ostreatus
356,232427.59088318725,19.5,2018-06-25,2,PDA,P.ostreatus
357,163312.5525042118,19.5,2018-06-25,2,PDA,P.ostreatus
358,194781.88611522075,19.5,2018-06-25,2,PDA,P.ostreatus
359,264207.9421669016,19.5,2018-06-25,2,PDA,P.ostreatus
360,196349.54084936206,19.5,2018-06-25,2,PDA,P.ostreatus
361,559467.3861218847,19.5,2018-06-25,1,PDA,S.commune
362,510222.9212768647,19.5,2018-06-25,1,PDA,S.commune
363,505171.2402898923,19.5,2018-06-25,1,PDA,S.commune
364,280861.5248235811,19.5,2018-06-25,2,PDA,S.commune
365,325732.8926948041,19.5,2018-06-25,2,PDA,S.commune
366,497640.8426992376,19.5,2018-06-25,2,PDA,S.commune
367,597204.1970768053,19.5,2018-06-25,2,PDA,S.commune
368,260576.2610593518,19.5,2018-06-25,1,PDA,S.commune.DSC3
369,17671.458676442588,19.5,2018-06-25,1,PDA,S.commune.DSC3
370,16286.016316209487,19.5,2018-06-25,1,PDA,S.commune.DSC3
371,11309.733552923255,19.5,2018-06-25,2,PDA,S.commune.DSC3
372,8824.73376393373,19.5,2018-06-25,2,PDA,S.commune.DSC3
373,8494.8665353068,19.5,2018-06-25,2,PDA,S.commune.DSC3
